GEOID,year,name,parent_location,population,poverty_rate,renter_occupied_households,pct_renter_occupied,median_gross_rent,median_household_income,median_property_value,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,eviction_filings,evictions,eviction_rate,eviction_filing_rate,low_flag,imputed,subbed,State,Percent_Rural,rural_flag,unemployment_rate,region,pct_nonwhite,cluster
01003,2010,Baldwin County,Alabama,182265,9.61,20109,27.48,874,50706,172900,30,83.5,9.31,4.38,0.63,0.74,0.04,1.26,0.13,620,358,1.78,3.08,0,0,0,AL,42.27909911392752,0,10,Northeast,16.5,1
01003,2011,Baldwin County,Alabama,195121,9.63,20748,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,655,417,2.01,3.16,1,0,0,AL,42.27909911392752,0,9,Northeast,16.900000000000006,1
01003,2012,Baldwin County,Alabama,195121,9.63,21386,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,888,461,2.16,4.15,0,0,0,AL,42.27909911392752,0,7.5,Northeast,16.900000000000006,1
01003,2013,Baldwin County,Alabama,195121,9.63,22025,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,834,483,2.19,3.79,0,0,0,AL,42.27909911392752,0,6.6,Northeast,16.900000000000006,1
01003,2014,Baldwin County,Alabama,195121,9.63,22663,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,686,385,1.7,3.03,0,0,0,AL,42.27909911392752,0,6.1,Northeast,16.900000000000006,1
01003,2015,Baldwin County,Alabama,195121,9.63,23302,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,649,476,2.04,2.79,0,0,0,AL,42.27909911392752,0,5.5,Northeast,16.900000000000006,1
01003,2016,Baldwin County,Alabama,195121,9.63,23940,28.48,879,50254,169300,30.3,83.1,9.5,4.5,0.56,0.66,0,1.58,0.1,776,504,2.11,3.24,0,0,0,AL,42.27909911392752,0,5.3,Northeast,16.900000000000006,1
01005,2010,Barbour County,Alabama,27457,20.16,3264,33.24,577,31889,88700,31.1,46.75,46.69,5.05,0.22,0.39,0.09,0.76,0.05,19,14,0.43,0.58,0,0,0,AL,67.7896347015333,1,12.3,Northeast,53.25,3
01005,2011,Barbour County,Alabama,26932,19.54,3277,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,19,15,0.46,0.58,0,0,0,AL,67.7896347015333,1,11.5,Northeast,53.76,3
01005,2012,Barbour County,Alabama,26932,19.54,3289,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,20,12,0.36,0.61,0,0,0,AL,67.7896347015333,1,11.5,Northeast,53.76,3
01005,2013,Barbour County,Alabama,26932,19.54,3302,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,32,18,0.55,0.97,0,0,0,AL,67.7896347015333,1,10.2,Northeast,53.76,3
01005,2014,Barbour County,Alabama,26932,19.54,3314,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,28,18,0.54,0.84,0,0,0,AL,67.7896347015333,1,10.5,Northeast,53.76,3
01005,2015,Barbour County,Alabama,26932,19.54,3327,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,28,16,0.48,0.84,0,0,0,AL,67.7896347015333,1,8.9,Northeast,53.76,3
01005,2016,Barbour County,Alabama,26932,19.54,3339,36.41,579,32964,92200,30.3,46.24,46.71,4.61,0.19,0.44,0,1.31,0.5,40,21,0.63,1.2,0,0,0,AL,67.7896347015333,1,8.3,Northeast,53.76,3
01007,2010,Bibb County,Alabama,22915,13.08,1942,24.42,581,36824,91600,29.2,75.02,21.92,1.77,0.28,0.1,0.03,0.79,0.09,10,10,0.51,0.51,0,0,0,AL,68.35260746236091,1,11.4,Northeast,24.980000000000004,1
01007,2011,Bibb County,Alabama,22604,12.84,1969,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,22,22,1.12,1.12,0,0,0,AL,68.35260746236091,1,10.5,Northeast,25.5,1
01007,2012,Bibb County,Alabama,22604,12.84,1996,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,29,17,0.85,1.45,0,0,0,AL,68.35260746236091,1,8.5,Northeast,25.5,1
01007,2013,Bibb County,Alabama,22604,12.84,2023,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,34,16,0.79,1.68,0,0,0,AL,68.35260746236091,1,7.9,Northeast,25.5,1
01007,2014,Bibb County,Alabama,22604,12.84,2050,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,33,19,0.93,1.61,0,0,0,AL,68.35260746236091,1,7.2,Northeast,25.5,1
01007,2015,Bibb County,Alabama,22604,12.84,2077,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,43,32,1.54,2.07,0,0,0,AL,68.35260746236091,1,6.6,Northeast,25.5,1
01007,2016,Bibb County,Alabama,22604,12.84,2104,24.89,651,38678,102700,26.9,74.5,21.4,2.22,0.41,0.09,0,1.37,0,29,18,0.86,1.38,0,0,0,AL,68.35260746236091,1,6.4,Northeast,25.5,1
01009,2010,Blount County,Alabama,57322,10.94,4194,19.44,588,45192,115200,25.6,88.89,1.26,8.07,0.5,0.2,0.03,0.99,0.06,36,27,0.64,0.86,0,0,0,AL,89.95150204110115,1,9.8,Northeast,11.11,1
01009,2011,Blount County,Alabama,57710,12.26,4255,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,62,46,1.08,1.46,0,0,0,AL,89.95150204110115,1,8.7,Northeast,12.150000000000006,1
01009,2012,Blount County,Alabama,57710,12.26,4316,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,46,36,0.83,1.07,0,0,0,AL,89.95150204110115,1,6.9,Northeast,12.150000000000006,1
01009,2013,Blount County,Alabama,57710,12.26,4377,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,61,35,0.8,1.39,0,0,0,AL,89.95150204110115,1,6.3,Northeast,12.150000000000006,1
01009,2014,Blount County,Alabama,57710,12.26,4437,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,86,57,1.28,1.94,0,0,0,AL,89.95150204110115,1,6.1,Northeast,12.150000000000006,1
01009,2015,Blount County,Alabama,57710,12.26,4498,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,67,48,1.07,1.49,0,0,0,AL,89.95150204110115,1,5.4,Northeast,12.150000000000006,1
01009,2016,Blount County,Alabama,57710,12.26,4559,21.1,601,45813,119800,26.1,87.85,1.53,8.63,0.31,0.14,0,1.46,0.07,72,47,1.03,1.58,0,0,0,AL,89.95150204110115,1,5.4,Northeast,12.150000000000006,1
01011,2010,Bullock County,Alabama,10914,18.39,1169,31.21,495,34500,73900,29.6,21.92,69.97,7.12,0.18,0.18,0.04,0.54,0.05,33,14,1.2,2.82,0,0,0,AL,51.37438152831226,1,11.8,Northeast,78.08,3
01011,2011,Bullock County,Alabama,10678,22.72,1178,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,24,18,1.53,2.04,0,0,0,AL,51.37438152831226,1,11.6,Northeast,77.78999999999999,3
01011,2012,Bullock County,Alabama,10678,22.72,1186,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,38,26,2.19,3.2,0,0,0,AL,51.37438152831226,1,10.4,Northeast,77.78999999999999,3
01011,2013,Bullock County,Alabama,10678,22.72,1195,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,27,7,0.59,2.26,0,0,0,AL,51.37438152831226,1,9.4,Northeast,77.78999999999999,3
01011,2014,Bullock County,Alabama,10678,22.72,1203,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,43,23,1.91,3.57,0,0,0,AL,51.37438152831226,1,8.8,Northeast,77.78999999999999,3
01011,2015,Bullock County,Alabama,10678,22.72,1212,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,43,17,1.4,3.55,0,0,0,AL,51.37438152831226,1,7.9,Northeast,77.78999999999999,3
01011,2016,Bullock County,Alabama,10678,22.72,1220,29.16,570,31938,68600,30.3,22.21,70.71,4.43,1.16,0.21,0,1.28,0,31,11,0.9,2.54,0,0,0,AL,51.37438152831226,1,6.8,Northeast,77.78999999999999,3
01013,2010,Butler County,Alabama,20947,21.64,2524,29.73,538,30752,73500,34.5,54.06,43.19,0.91,0.28,0.83,0.03,0.68,0.01,39,30,1.19,1.55,0,0,0,AL,71.23215734950112,1,13.6,Northeast,45.94,3
